player_name,pitch_type_recovered,avg_stuff_plus,avg_location_plus,avg_pitch_plus,pitch_count
"Morejon, Adrian",KN,116.5881128,102.3640207,110.898476,84
"Alvarado, José",SI,115.5616252,100.4184977,109.5043742,638
"Chapman, Aroldis",FS,112.7923906,102.9475866,108.854469,141
"Chapman, Aroldis",SI,115.0367164,98.71978202,108.5099426,319
"Megill, Trevor",KC,111.6028603,103.5593487,108.3854557,190
"Means, John",CH,113.4366614,100.248355,108.1613389,91
"Snell, Blake",FF,112.5181317,101.5219541,108.1196607,821
"Ragans, Cole",CH,111.955626,101.905399,107.9355352,751
"Anderson, Tyler",CH,111.5897642,102.1446395,107.8117143,1082
"Muller, Kyle",CH,110.1633879,104.1985772,107.7774636,57
"Smith, Will",CH,112.5991117,100.5139129,107.7650322,98
"Crochet, Garrett",SI,112.2813706,100.9716614,107.7574869,53
"Wentz, Joey",CH,111.0068584,102.7128675,107.6892621,248
"Snell, Blake",CH,111.9245541,101.1978585,107.6338759,311
"Parker, Mitchell",FS,111.4598166,101.420547,107.4441087,458
"Suarez, Robert",SI,112.3392418,100.0255046,107.4137469,170
"Montgomery, Jordan",CH,111.2307867,101.3080378,107.2616871,373
"Hader, Josh",SI,110.5060308,102.134921,107.1575869,832
"Williamson, Brandon",CH,109.0597015,103.8360138,106.9702264,56
"Ferrer, Jose A.",SI,111.2048358,100.3554555,106.8650837,251
"Alcala, Jorge",CH,110.8559714,100.7881284,106.8288342,95
"Long, Sam",FS,110.3513257,101.2955588,106.729019,60
"Lee, Dylan",CH,109.8923449,101.6585099,106.5988109,104
"Elder, Bryce",CH,109.2548204,102.5655335,106.5791056,115
"Morejon, Adrian",SI,111.3092788,99.33928705,106.5212821,389
"Miller, Erik",FF,109.855576,101.4800389,106.5053611,639
"Crochet, Garrett",CH,108.6694973,103.1879738,106.4768879,142
"Paxton, James",CH,107.9645959,104.2066022,106.4613984,116
"Suter, Brent",CH,108.365364,103.1911891,106.2956941,202
"Soto, Gregory",SI,110.2510726,100.3152648,106.2767495,468
"Corbin, Patrick",CH,108.2536789,103.215474,106.2383969,97
"Beeks, Jalen",CH,107.7505465,103.9655064,106.2365305,308
"Baker, Bryan",CH,109.6164221,101.0871992,106.2047329,51
"Verlander, Justin",CH,109.240694,101.5911641,106.1808821,160
"Jansen, Kenley",FC,110.7725384,99.26891101,106.1710874,682
"Megill, Trevor",FF,110.8766276,99.02024375,106.1340741,483
"Montgomery, Mason",FF,109.1062726,101.5811442,106.0962212,115
"Skubal, Tarik",SI,111.1830095,98.28537865,106.0239572,601
"Bradford, Cody",CH,108.5444697,102.1541984,105.9883612,321
"Snell, Blake",SL,107.2504473,104.0273271,105.9611992,178
"Fairbanks, Pete",FF,110.663925,98.83265934,105.9314187,374
"Jax, Griffin",ST,108.277254,102.3933417,105.9236891,400
"Stripling, Ross",CH,109.9228009,99.87903629,105.9052951,239
"Moore, Matt",CH,109.4709279,100.5518215,105.9032853,274
"Gomber, Austin",CH,109.4511416,100.5242417,105.8803816,548
"Liberatore, Matthew",CH,108.9926774,101.2114804,105.8801986,65
"Martinez, Justin",SI,109.2986832,100.5132477,105.784509,528
"Ragans, Cole",FF,109.9403606,99.52954264,105.7760334,1326
"Abbott, Andrew",CH,108.4336951,101.7894463,105.7759956,381
"Cabrera, Génesis",SI,109.1936226,100.5234932,105.7255709,224
"Little, Luke",ST,107.0552794,103.6836567,105.7066303,115
"Ashby, Aaron",SI,109.0421082,100.6689597,105.6928488,248
"Woods Richardson, Simeon",CH,108.5423345,101.2137878,105.6109158,442
"Diekman, Jake",ST,107.0696488,102.9610187,105.4261968,183
"Matsui, Yuki",FS,107.3400224,102.5536647,105.4254793,264
"Glasnow, Tyler",CU,107.359457,102.4292181,105.3873614,374
"Hentges, Sam",SI,110.0513212,98.35780855,105.3739161,60
"Chapman, Aroldis",FF,108.6590872,100.4362632,105.3699576,384
"Crochet, Garrett",ST,107.6371308,101.95972,105.3661665,233
"Gilbert, Logan",CU,107.0830016,102.6647977,105.31572,359
"Glasnow, Tyler",SL,107.8332589,101.5250706,105.3099836,557
"Helsley, Ryan",FF,108.7660084,100.098099,105.2988446,428
"Hernández, Carlos",FS,107.1507602,102.5165574,105.2970791,64
"Burnes, Corbin",SL,106.5627345,103.3727809,105.2867531,383
"Brown, Ben",KC,107.5281039,101.8667276,105.2635534,303
"Alcala, Jorge",SI,109.3630375,98.98886684,105.2133692,78
"Reynolds, Sean",FF,108.0976741,100.650246,105.1187028,110
"Erceg, Lucas",SI,109.1197591,99.07229152,105.1007721,211
"Whitley, Forrest",SI,108.4284931,100.1019924,105.0978928,50
"Rodón, Carlos",FF,109.420126,98.60599106,105.094472,1576
"Thorpe, Drew",CH,107.3047678,101.6711682,105.0513279,256
"Miller, Bobby",SI,108.9732706,99.1632898,105.0492783,162
"Uribe, Abner",SI,108.9449721,99.14988817,105.0269385,166
"Thompson, Zack",FO,107.4018536,101.3987124,105.0005971,79
"Burnes, Corbin",SI,107.6465619,100.9898373,104.9838721,230
"Steele, Justin",CH,105.8776865,103.6283819,104.9779647,67
"Burke, Brock",CH,108.3133195,99.87095764,104.9363748,96
"Latz, Jacob",CH,107.3020009,101.37528,104.9313125,186
"Glasnow, Tyler",SI,109.2168588,98.43979636,104.9060338,171
"Banks, Tanner",CH,106.7739294,102.0900468,104.9003764,149
"Cabrera, Génesis",CH,105.6581668,103.7557023,104.897181,79
"Vieira, Thyago",SI,108.131326,100.0275157,104.8898019,298
"Gordon, Tanner",CH,108.4029564,99.28556318,104.7559991,116
"Stratton, Chris",CU,105.4770899,103.496883,104.6850071,220
"Uribe, Abner",SL,106.2313869,102.347879,104.6779837,89
"Imanaga, Shota",FS,107.6952086,100.1485539,104.6765467,797
"Alcala, Jorge",FF,107.5122027,100.3331589,104.6405852,426
"Holmes, Clay",SI,107.0123601,101.0417209,104.6241044,624
"Crochet, Garrett",FF,108.6400094,98.5619355,104.6087798,1284
"Nicolas, Kyle",CU,105.5108284,103.2319262,104.5992675,218
"Soroka, Michael",CH,104.8993485,104.129145,104.5912671,141
"Flexen, Chris",CH,106.740162,101.2821218,104.5569459,440
"Suarez, Robert",FF,108.5234589,98.60241843,104.5550427,698
"Pepiot, Ryan",CU,102.4642483,107.633113,104.5317942,63
"deGrom, Jacob",SL,106.2443279,101.9615114,104.5312013,78
"Nicolas, Kyle",SL,106.6434456,101.3531775,104.5273384,209
"O'Brien, Riley",CU,105.3101845,103.2972799,104.5050226,58
"Vásquez, Randy",CU,106.249066,101.8422061,104.486322,284
"Latz, Jacob",FF,106.8987375,100.8018884,104.4599979,411
"Estrada, Jeremiah",FF,107.0357081,100.589396,104.4571833,574
"Burnes, Corbin",FC,107.6380441,99.58180415,104.4155481,1348
"Pressly, Ryan",SL,106.659796,101.0249731,104.4058669,280
"Koenig, Jared",SI,108.2936772,98.5036246,104.3776562,582
"Gore, MacKenzie",CH,105.5730736,102.5300136,104.3558496,277
"Ray, Robbie",FF,107.8445961,99.07432835,104.336489,301
"Cabrera, Edward",SI,107.3125472,99.83439989,104.3212883,160
"Luzardo, Jesús",SI,107.3319092,99.74893325,104.2987188,130
"Cease, Dylan",FF,107.6082575,99.32893669,104.2965292,1417
"Harris, Hogan",CH,105.4118585,102.6039067,104.2886778,200
"Keuchel, Dallas",CH,103.582135,105.3268268,104.2800117,85
"Burnes, Corbin",ST,105.4960887,102.4494373,104.2774281,56
"Liberatore, Matthew",SI,110.2176005,95.36009835,104.2745996,282
"López, Pablo",CU,105.313726,102.7013502,104.2687757,297
"Bradish, Kyle",SL,105.9096787,101.8060416,104.2682238,201
"Cabrera, Edward",CU,106.1247216,101.4773211,104.2657614,378
"Allen, Logan",FS,106.8013227,100.4227346,104.2498874,97
"Boyle, Joe",FF,106.669855,100.5790101,104.233517,570
"Puk, A.J.",ST,105.8473607,101.8054431,104.2305937,193
"Sabrowski, Erik",FF,107.4879761,99.33079743,104.2251046,114
"Clase, Emmanuel",SL,107.0174511,100.003017,104.2116775,202
"Leahy, Kyle",ST,106.6044472,100.5959552,104.2010504,103
"Freeland, Kyle",KC,105.2603526,102.5671742,104.1830813,333
"Clase, Emmanuel",FC,106.717447,100.3402973,104.1665871,765
"Soriano, José",SI,106.4462253,100.733983,104.1613284,806
"Rodriguez, Grayson",CU,105.2537926,102.507,104.1550755,296
"Pepiot, Ryan",SL,106.5346123,100.5849185,104.1547348,415
"Baumann, Mike",KC,106.7868511,100.2022808,104.153023,357
"Sánchez, Cristopher",SI,107.6935903,98.84085791,104.1524973,1365
"Soriano, José",KC,106.0756164,101.2559462,104.1477483,440
"Baker, Bryan",FF,107.4787011,99.13920272,104.1429017,180
"Miller, Bobby",CH,105.3794698,102.2497265,104.1275725,220
"Leclerc, José",CH,104.6262653,103.3782029,104.1270404,127
"Soto, Gregory",ST,105.9857948,101.3032623,104.1127818,76
"Walker, Josh",CU,106.2215253,100.9495463,104.1127337,82
"Keller, Brad",CH,105.0538825,102.6948053,104.1102516,98
"Herget, Kevin",CH,106.1318176,101.0615754,104.1037207,53
"Bubic, Kris",ST,106.2261029,100.8892069,104.0913445,169
"Baumann, Mike",SL,106.521319,100.4301134,104.0848368,255
"Miller, Mason",FF,106.3720513,100.6454408,104.0814071,655
"Brieske, Beau",SI,106.4328042,100.5398743,104.0756322,197
"Maton, Phil",FC,106.411823,100.5297477,104.0589929,390
"Peralta, Wandy",SI,106.9274541,99.67442016,104.0262405,248
"Ashcraft, Graham",SL,104.755892,102.9269936,104.0243326,429
"Grove, Michael",SI,108.1535074,97.82116066,104.0205687,187
"Stratton, Hunter",SL,104.4908835,103.28225,104.0074301,147
"Suarez, Robert",CH,103.3832752,104.8955069,103.9881679,127
"Hjelle, Sean",KC,105.6826945,101.4400173,103.9856236,416
"Grove, Michael",FC,107.3885938,98.85337416,103.9745059,143
"Staumont, Josh",SI,106.595752,100.029657,103.969314,122
"García, Luis",SI,107.8804331,98.10218988,103.9691358,475
"Hernández, Daysbel",SL,104.4784662,103.1999883,103.967075,179
"Ashby, Aaron",CH,106.7329601,99.8126426,103.9648331,118
"Gore, MacKenzie",FF,106.7787735,99.70051059,103.9474683,1658
"Peterson, David",CH,105.1641686,102.1173446,103.945439,307
"Hoffman, Jeff",SI,107.4601477,98.61205903,103.9209122,112
"Miller, Bobby",SL,104.7152647,102.6919401,103.9059349,106
"Rodriguez, Eduardo",CH,104.6251775,102.8025368,103.8961212,195
"Lee, Dylan",FF,107.5224696,98.44557245,103.8917107,285
"Luzardo, Jesús",CH,105.7669244,101.0665873,103.8867895,248
"Morejon, Adrian",FF,107.3143192,98.72325855,103.8778949,254
"Ray, Robbie",KC,104.9894208,102.1933112,103.870977,85
"Lange, Alex",KC,105.1094588,101.966149,103.8521349,233
"Cantillo, Joey",CH,105.0699928,101.9916941,103.8386733,196
"Warren, Will",ST,103.2260393,104.7531461,103.836882,140
"Vesia, Alex",FF,105.758456,100.9479926,103.8342706,718
"Little, Brendon",KC,104.5584091,102.7469536,103.8338269,224
"Hernández, Carlos",KC,104.416199,102.9103405,103.8138556,89
"Adam, Jason",FF,106.1780878,100.2505995,103.8070925,424
"Bibee, Tanner",CH,106.7500556,99.35083149,103.790366,527
"Wilson, Justin",FF,107.925168,97.58188758,103.7878558,405
"Otañez, Michel",SI,106.3550299,99.93290615,103.7861804,111
"Abbott, Andrew",ST,106.4963667,99.71793626,103.7849945,428
"Borucki, Ryan",SI,105.3714395,101.3989212,103.7824322,50
"Funderburk, Kody",ST,105.2027132,101.6453259,103.7797583,212
"Domínguez, Seranthony",ST,105.4400767,101.2549038,103.7660075,192
"Abbott, Andrew",CU,103.4840485,104.1774207,103.7613974,270
"Pressly, Ryan",CU,105.1935929,101.5958104,103.7544799,241
"Rasmussen, Drew",SI,105.9519321,100.4499501,103.7511393,134
"Ferguson, Caleb",SV,104.7039971,102.2835382,103.7358136,190
"Akin, Keegan",CH,105.4182096,101.1923348,103.7278597,134
"Wicks, Jordan",SL,103.2119126,104.4794834,103.7189409,51
"Wheeler, Zack",ST,105.1101261,101.6310701,103.7185037,401
"Frías, Luis",FF,104.9851277,101.8011038,103.7115181,63
"Pfaadt, Brandon",ST,105.46849,101.0675117,103.7080987,789
"Nance, Tommy",CU,104.37047,102.692334,103.6992156,121
"Puk, A.J.",SI,105.7500963,100.614785,103.6959718,174
"Molina, Anthony",CH,105.0066434,101.7141728,103.6896551,238
"Varland, Louis",SL,105.7826375,100.546945,103.6883605,281
"Cleavinger, Garrett",SI,106.0494423,100.1441887,103.6873409,105
"Kuhnel, Joel",SL,105.3343473,101.2026125,103.6816534,65
"Walker, Josh",FF,106.8989171,98.85304213,103.6805671,73
"Johnson, Pierce",CU,105.5693819,100.8252099,103.6717131,656
"Brito, Jhony",SI,106.7854535,98.99516338,103.6693375,164
"McArthur, James",CU,105.3885913,101.0850702,103.6671828,304
"Bloss, Jake",SL,105.4276224,101.0065133,103.6591788,55
"Bigge, Hunter",FF,105.5990828,100.7401993,103.6555294,180
"Hudson, Bryan",ST,104.6321427,102.1809216,103.6516542,216
"Schmidt, Clarke",ST,104.4216517,102.4811957,103.6454693,378
"Nastrini, Nick",CH,103.1877949,104.3223607,103.6416212,72
"Carrasco, Carlos",CU,103.7404575,103.4799124,103.6362395,117
"Slaten, Justin",FF,107.0602904,98.48464444,103.630032,240
"Bradish, Kyle",CU,104.4524988,102.3897111,103.6273837,116
"Stanek, Ryne",FF,106.7710651,98.90312715,103.6238899,586
"Wentz, Joey",FF,107.0272474,98.47294313,103.6055257,480
"Pivetta, Nick",FF,108.2124819,96.69431225,103.605214,1158
"Guenther, Sean",FS,104.8819732,101.6709373,103.5975588,76
"Rodríguez, Randy",SI,104.3127263,102.5186678,103.5951029,53
"Skubal, Tarik",FF,107.5503267,97.65426468,103.5919019,974
"Pérez, Cionel",SI,105.8371474,100.0960146,103.5406943,331
"Sandoval, Patrick",CH,105.232332,101.0008918,103.5397559,409
"Festa, David",CH,105.3440708,100.8279792,103.5376341,308
"Sánchez, Cristopher",CH,105.0154399,101.2843009,103.5229843,1014
"Kopech, Michael",FF,105.4084387,100.6799179,103.5170304,896
"Webb, Logan",ST,104.130287,102.5716903,103.5068483,680
"Banda, Anthony",SI,106.4891999,99.0005673,103.4937469,189
"Bibee, Tanner",CU,105.1393708,101.0152196,103.4897103,174
"Cease, Dylan",SL,104.4488366,102.027649,103.4803616,1394
"Martinez, Nick",CH,105.3677446,100.6444316,103.4784194,460
"Holderman, Colin",SI,105.5180874,100.4054232,103.4730217,224
"Robertson, David",FC,105.9945703,99.67906913,103.4683698,780
"Funderburk, Kody",SI,104.5401597,101.8583901,103.4674519,131
"O'Brien, Riley",SL,105.697586,100.113294,103.4638692,52
"Rodón, Carlos",CH,103.8714257,102.8478414,103.461992,404
"Leahy, Kyle",SL,105.7640709,99.98541733,103.4526095,176
"Means, John",FF,106.0796006,99.51178431,103.4524741,120
"Herz, DJ",CH,105.45474,100.4459105,103.4512082,389
"Bradish, Kyle",SI,107.4070529,97.50120559,103.444714,267
"Slaten, Justin",CU,103.629035,103.1620061,103.4422234,70
"Gómez, Yoendrys",ST,103.4117078,103.4774101,103.4379887,72
"Armstrong, Shawn",ST,104.9062239,101.2212765,103.4322449,66
"Newcomb, Sean",FF,106.7728878,98.41038394,103.4278863,87
"Diekman, Jake",SI,105.5477077,100.2209449,103.4170026,86
"Burke, Brock",FF,107.5340641,97.2408248,103.4167684,311
"Pivetta, Nick",CU,104.4847518,101.7824228,103.4038202,389
"Domínguez, Seranthony",SI,106.4890781,98.7609739,103.3978364,199
"Cabrera, Génesis",FF,106.9358464,98.03602782,103.375919,207
"Jackson, Luke",FF,105.8566951,99.6482666,103.3733237,295
"Hurter, Brant",ST,104.1898322,102.139902,103.3698601,224
"Verlander, Justin",FF,106.0731599,99.29959286,103.3637331,767
"Law, Derek",SI,106.4327448,98.75526804,103.3617541,135
"Leiter, Jack",CU,102.5321501,104.5840071,103.3528929,76
"Chapman, Aroldis",SL,103.8817294,102.5489534,103.348619,304
"Brown, Hunter",SI,106.8957163,98.01681612,103.3441562,524
"Myers, Tobias",CH,103.6961587,102.7704459,103.3258736,245
"Akin, Keegan",FF,106.3506614,98.78784312,103.3255341,695
"Garabito, Gerson",CU,104.6737831,101.2815664,103.3168964,167
"Burdi, Nick",SL,103.6901971,102.7351602,103.3081823,99
"Ort, Kaleb",FF,105.567387,99.89954096,103.3002486,203
"Liberatore, Matthew",FF,105.9980378,99.24995843,103.2988061,386
"Smyly, Drew",SI,106.9473465,97.81642433,103.2949776,501
"Wheeler, Zack",CU,103.3122374,103.2195128,103.2751476,322
"Hall, DL",CH,103.4646769,102.973362,103.2681509,160
"Detmers, Reid",CH,106.0001832,99.16693295,103.2668831,232
"Matsui, Yuki",FF,105.3039868,100.1926847,103.259466,434
"Herz, DJ",KC,102.6503581,104.172913,103.2593801,53
"Soriano, José",SL,103.6038681,102.7413483,103.2588602,96
"Jansen, Kenley",SI,106.1812982,98.87167391,103.2574485,66
"Hodge, Porter",ST,103.9763068,102.1754527,103.2559652,249
"Skubal, Tarik",CH,105.5306734,99.8413393,103.2549398,789
"King, Bryan",ST,104.050734,102.0538249,103.2519704,144
"Ruiz, José",SI,106.5439855,98.28874141,103.2418879,200
"Devenski, Chris",CH,103.945014,102.1855347,103.2412223,258
"Young, Danny",ST,101.7916496,105.4130921,103.2402266,364
"Law, Derek",CH,105.5395894,99.76931761,103.2314807,70
"Gray, Sonny",ST,103.8185212,102.3283011,103.2224332,502
"O'Brien, Riley",SI,104.8602412,100.7546663,103.2180113,98
"Gilbert, Logan",FS,102.2193634,104.7096381,103.2154733,407
"Jax, Griffin",CU,105.0364289,100.4760574,103.2122803,66
"Matzek, Tyler",FF,106.186054,98.74273115,103.2087249,117
"Rasmussen, Drew",FF,106.3917439,98.41871827,103.2025336,173
"Thornton, Trent",SL,104.6386895,100.9651829,103.1692869,248
"Hentges, Sam",FF,106.3808945,98.34878332,103.16805,104
"Burnes, Corbin",CU,102.9919839,103.4237502,103.1646904,644
"Estrada, Jeremiah",FS,105.1804775,100.1104926,103.1524835,200
"Mears, Nick",FF,106.5776842,98.01029618,103.150729,632
"López, Pablo",ST,104.6000946,100.953294,103.1413744,654
"Bednar, David",FF,105.4344918,99.68797507,103.1358851,586
"Irvin, Jake",CU,105.154425,100.0980912,103.1318915,969
"Peguero, Elvis",SL,103.3923378,102.7359637,103.1297882,419
